iter	R2	RMSE
99	0.9893926786	4875.025225
100	0.9894293091	4866.600435
101	0.9894596079	4859.620849
102	0.9894766564	4855.689174
103	0.9894955248	4851.334096
104	0.9895094725	4848.112256
105	0.9895300934	4843.345018
106	0.9895471378	4839.401066
107	0.9895706654	4833.951673
108	0.9895842757	4830.796497
109	0.9895987968	4827.427869
110	0.9896071533	4825.488273
111	0.9896207913	4822.321116
112	0.9896395686	4817.95705
113	0.9896573495	4813.820914
114	0.989667524	4811.452549
115	0.9896915418	4805.857189
116	0.989698074	4804.334277
117	0.9897080489	4802.007804
118	0.9897223135	4798.678862
119	0.9897347415	4795.776641
120	0.9897498416	4792.248074
121	0.9897563723	4790.721188
122	0.9897663624	4788.384554
123	0.9897888071	4783.130664
124	0.9897955492	4781.551334
125	0.9898168875	4776.549413
126	0.9898265267	4774.28817
127	0.9898285073	4773.823405
128	0.9898315234	4773.115574
129	0.9898411249	4770.861556
130	0.9898518498	4768.342552
131	0.9898677367	4764.608683
132	0.9898763636	4762.579878
133	0.9898825108	4761.133712
134	0.9898867099	4760.145601
135	0.9898934306	4758.563681
136	0.9899006988	4756.852296
137	0.9899102679	4754.598194
138	0.9899153912	4753.390914
139	0.9899189027	4752.563256
140	0.9899256589	4750.970443
141	0.9899319312	4749.49125
142	0.9899441343	4746.612028
143	0.9899526665	4744.597911
144	0.9899596184	4742.956191
145	0.9899611833	4742.586569
146	0.9899713232	4740.190776
147	0.9899807879	4737.953452
148	0.9899828631	4737.462752
149	0.9899872293	4736.430164
150	0.9899932958	4734.995115
151	0.9899977886	4733.932025
152	0.989999152	4733.609388
153	0.9900051135	4732.198323
154	0.9900105092	4730.920813
155	0.9900135171	4730.208508
156	0.9900186563	4728.991225
157	0.9900226975	4728.033818
158	0.9900272467	4726.955804
159	0.9900369188	4724.663029
160	0.9900395363	4724.042361
161	0.9900434426	4723.115925
162	0.9900558232	4720.178489
163	0.9900568553	4719.933542
164	0.9900587806	4719.476558
165	0.9900604623	4719.077355
166	0.9900605064	4719.066891
167	0.9900666249	4717.614195
168	0.9900666342	4717.611995
169	0.9900695317	4716.923876
170	0.9900773626	4715.063707
171	0.9900878543	4712.5703
172	0.9900949791	4710.876321
173	0.9901021142	4709.17927
174	0.990102471	4709.094395
175	0.9901094564	4707.432316
176	0.9901125372	4706.699101
177	0.990118858	4705.194419
178	0.9901254442	4703.62605
179	0.9901316304	4702.152471
180	0.9901369224	4700.891504
181	0.9901427508	4699.502367
182	0.9901502726	4697.70898
183	0.9901564856	4696.227149
184	0.9901574592	4695.994893
185	0.9901588313	4695.667546
186	0.990162299	4694.840181
187	0.9901735194	4692.16206
188	0.9901783326	4691.012783
189	0.9901853627	4689.333608
190	0.9901894669	4688.35304
191	0.9902028449	4685.155352
192	0.990205583	4684.500611
193	0.9902068931	4684.187294
194	0.9902076286	4684.011382
195	0.9902150024	4682.247496
196	0.9902209415	4680.826316
197	0.9902304408	4678.552298
198	0.9902324237	4678.077484
199	0.9902383082	4676.668112
200	0.9902431958	4675.497179
201	0.9902434946	4675.425589
202	0.9902534039	4673.050652
203	0.9902541743	4672.865969
204	0.9902655464	4670.13885
205	0.9902691602	4669.271902
206	0.9902728885	4668.377319
207	0.9902767267	4667.456186
208	0.9902787519	4666.970081
209	0.9902789432	4666.924166
210	0.9902822803	4666.123062
211	0.9902829665	4665.958305
212	0.9902867097	4665.059519
213	0.9902871553	4664.952504
214	0.9902902089	4664.219153
215	0.9902911619	4663.990256
216	0.9902924858	4663.672242
217	0.9903032187	4661.093396
218	0.9903040647	4660.890047
219	0.9903094887	4659.586197
220	0.9903150758	4658.242752
221	0.9903189251	4657.316933
222	0.9903210245	4656.811929
223	0.9903229748	4656.342734
224	0.9903339839	4653.69334
225	0.9903347072	4653.519202
226	0.9903365635	4653.07232
227	0.9903437128	4651.350767
228	0.9903450481	4651.02915
229	0.990352039	4649.344992
230	0.9903547636	4648.688464
231	0.9903564682	4648.277654
232	0.990359983	4647.430507
233	0.9903632215	4646.649806
234	0.9903672659	4645.67464
235	0.9903679406	4645.511933
236	0.9903701196	4644.98644
237	0.9903770643	4643.311251
238	0.9903863223	4641.077108
239	0.9903885024	4640.550836
240	0.9903955857	4638.840581
241	0.9903976442	4638.343421
242	0.990398548	4638.125139
243	0.9904007146	4637.601789
244	0.990405618	4636.417178
245	0.990406418	4636.223872
246	0.9904077543	4635.900978
247	0.9904108336	4635.156815
248	0.9904127575	4634.691808
249	0.9904187815	4633.2355
250	0.990419998	4632.941374
251	0.9904250884	4631.710321
252	0.9904252896	4631.661662
253	0.9904314926	4630.161096
254	0.9904351936	4629.265576
255	0.9904365556	4628.935956
256	0.9904457082	4626.720389
257	0.9904465745	4626.51063
258	0.9904478979	4626.190167
259	0.9904513477	4625.354705
260	0.99045344	4624.847921
261	0.9904607624	4623.073909
262	0.9904629859	4622.535091
263	0.9904643605	4622.201944
264	0.9904682431	4621.260846
265	0.9904705629	4620.698447
266	0.9904785702	4618.756741
267	0.9904799289	4618.427167
268	0.9904844341	4617.334261
269	0.9904881518	4616.432181
270	0.9904897641	4616.040912
271	0.9904910848	4615.720364
272	0.9904919485	4615.510756
273	0.9904933833	4615.162483
274	0.9904946708	4614.849953
275	0.9904956409	4614.614447
276	0.9904963928	4614.43191
277	0.9904979036	4614.065123
278	0.9905037977	4612.633866
279	0.9905046791	4612.419788
280	0.9905125447	4610.509014
281	0.9905133403	4610.315701
282	0.9905187844	4608.992656
283	0.9905209166	4608.474368
284	0.9905261079	4607.212258
285	0.9905269009	4607.019425
286	0.9905340096	4605.290534
287	0.9905390007	4604.076262
288	0.990539865	4603.865968
289	0.990540928	4603.607302
290	0.9905484251	4601.782566
291	0.9905500592	4601.38473
292	0.9905528086	4600.715326
293	0.9905534238	4600.565506
294	0.990554591	4600.281284
295	0.9905557534	4599.998206
296	0.9905645562	4597.853935
297	0.9905654422	4597.638058
298	0.9905683616	4596.926662
299	0.9905694095	4596.671274
300	0.9905744408	4595.444927
301	0.9905751167	4595.280166
302	0.9905763127	4594.988587
303	0.9905787246	4594.400533
304	0.9905818583	4593.636381
305	0.9905865402	4592.494456
306	0.9905923458	4591.078054
307	0.9905929867	4590.921678
308	0.9906002516	4589.148578
309	0.9906066138	4587.595237
310	0.9906116228	4586.371916
311	0.9906127224	4586.103327
312	0.9906203079	4584.250009
313	0.9906222612	4583.77265
314	0.9906257333	4582.924016
315	0.990628079	4582.350577
316	0.9906292807	4582.056791
317	0.9906302412	4581.821972
318	0.9906318007	4581.440648
319	0.9906370734	4580.151173
320	0.9906423697	4578.855584
321	0.9906442253	4578.401553
322	0.9906473355	4577.640491
323	0.990648051	4577.465384
324	0.9906496712	4577.068855
325	0.9906511477	4576.707467
326	0.9906525902	4576.354361
327	0.9906574073	4575.17502
328	0.9906612813	4574.226354
329	0.9906637046	4573.632821
330	0.990665953	4573.082074
331	0.9906672735	4572.758571
332	0.990668099	4572.556336
333	0.9906750105	4570.862727
334	0.9906758535	4570.656124
335	0.990675989	4570.622924
336	0.9906829297	4568.921421
337	0.9906856733	4568.248687
338	0.9906867356	4567.988156
339	0.9906903734	4567.095943
340	0.9906963695	4565.624938
341	0.9906999061	4564.757086
